index,text,gold,pred,score,benar
26,"Nasinya keras kayak belum matang, susah ditelan",NEGATIF,NEGATIF,0.9214455485343933,1
27,"Makanannya udah dingin pas sampai, jadi nggak enak",NEGATIF,NEGATIF,0.967678427696228,1
28,"Porsinya sedikit banget, sama sekali nggak kenyang",NEGATIF,NEGATIF,0.9436668157577515,1
29,"Sayurnya hambar, kayak nggak dikasih bumbu sama sekali",NEGATIF,NEGATIF,0.9976344108581543,1
30,"Ayamnya bau, kayaknya udah nggak fresh, takut basi",NEGATIF,NEGATIF,0.9933670163154602,1
31,"Datangnya telat banget, jam istirahat keburu habis",NEGATIF,NEGATIF,0.9966129660606384,1
32,"Sambalnya kepedesan parah sampai nggak bisa dimakan",NEGATIF,NEGATIF,0.9867821931838989,1
33,"Lauknya cuma tahu doang, kurang bergizi",NEGATIF,NEGATIF,0.9985604882240295,1
34,"Bau makanannya aneh, aku nggak berani makan",NEGATIF,NEGATIF,0.9984402060508728,1
35,"Kuahnya basi, baunya asem, langsung aku buang",NEGATIF,NEGATIF,0.9900800585746765,1
36,"Asin banget nggak ketulungan, kebanyakan garam",NEGATIF,NEGATIF,0.9982579350471497,1
37,"Nasinya bau apek kayak beras lama",NEGATIF,NEGATIF,0.9873099327087402,1
38,"Dingin dan lembek, rasanya kayak makanan sisa",NEGATIF,NEGATIF,0.8893961906433105,1
39,"Nggak aku habisin karena bener-bener nggak enak",NEGATIF,NEGATIF,0.998248815536499,1
40,"Porsinya beda-beda, punyaku paling sedikit, nggak adil",NEGATIF,NEGATIF,0.9928295016288757,1
41,"Tahunya udah basi, ada rasa asem-asemnya",NEGATIF,NEGATIF,0.5670874118804932,1
42,"Sayur kangkungnya masih kotor, ada pasirnya",NEGATIF,NEGATIF,0.9034140706062317,1
43,"Makanannya tumpah karena wadahnya bocor",NEGATIF,NEGATIF,0.8056753277778625,1
44,"Telurnya amis banget, kayak belum mateng dalemnya",NEGATIF,NEGATIF,0.9981099367141724,1
45,"Rasanya hambar semua, lauk sama sayur nggak ada rasa",NEGATIF,NEGATIF,0.9873170256614685,1
46,"Kebanyakan minyak, bikin enek pas dimakan",NEGATIF,NEGATIF,0.7293362617492676,1
47,"Daging ayamnya alot, susah dikunyah",NEGATIF,NEGATIF,0.973813533782959,1
48,"Nasinya basi, baru sesuap langsung aku tinggal",NEGATIF,NEGATIF,0.9733860492706299,1
49,"Kecewa, hari ini menunya paling parah dari biasanya",NEGATIF,NEGATIF,0.9986134767532349,1
50,"Porsi kecil, dingin, dan nggak ada rasanya, parah",NEGATIF,NEGATIF,0.9947611689567566,1
51,"Biasa aja sih, nggak enak tapi nggak jelek juga",NETRAL,NEGATIF,0.7684047222137451,0
52,"Lumayan, tapi nasinya kebanyakan buat aku",NETRAL,POSITIF,0.6764144897460938,0
53,"Standar lah kayak hari-hari biasanya",NETRAL,NEGATIF,0.9973492622375488,0
54,"Rasanya oke, cuma porsinya agak kebanyakan",NETRAL,POSITIF,0.8702622056007385,0
55,"Lauknya enak tapi sayurnya kurang matang",NETRAL,POSITIF,0.9849731922149658,0
56,"Cukup mengenyangkan walaupun rasanya standar",NETRAL,POSITIF,0.9932482242584229,0
57,"Menunya sama kayak minggu lalu, gitu-gitu aja",NETRAL,NEGATIF,0.9983258843421936,0
58,"Nasinya pas, lauknya biasa, nggak ada yang spesial",NETRAL,POSITIF,0.6175836324691772,0
59,"Ya cukup buat ganjel perut, nggak istimewa",NETRAL,NEGATIF,0.9844414591789246,0
60,"Setengah enak setengah engga, tergantung lauknya",NETRAL,POSITIF,0.8532055020332336,0
61,"Porsinya pas tapi kurang variasi menunya",NETRAL,POSITIF,0.9175611138343811,0
62,"Lumayan lah daripada nggak makan siang",NETRAL,POSITIF,0.9441018104553223,0
63,"Rasanya oke, cuma kurang sayuran aja",NETRAL,POSITIF,0.9124706387519836,0
64,"Hari ini menunya nasi ayam sama sup, seperti biasa",NETRAL,POSITIF,0.7580733299255371,0
65,"Nggak terlalu enak tapi masih bisa dimakan kok",NETRAL,POSITIF,0.9533652067184448,0
66,"Cukup oke, mungkin lain kali tambah buah ya",NETRAL,NEGATIF,0.6537540555000305,0
67,"Biasa aja, tapi tadi dibaginya agak telat dikit",NETRAL,NEGATIF,0.6165555119514465,0
68,"Lauknya enak, sayurnya kurang, jadi seimbang aja",NETRAL,POSITIF,0.9978892207145691,0
69,"Nasi sama tempe, porsinya standar, ya gitu deh",NETRAL,NEGATIF,0.9746688008308411,0
70,"Rasanya netral, nggak ada yang menonjol",NETRAL,NEGATIF,0.6471483111381531,0
71,"Mungkin enak buat sebagian orang, buat aku biasa",NETRAL,NETRAL,0.3542347848415375,1
72,"Lumayan ngenyangin walau agak hambar dikit",NETRAL,POSITIF,0.7676369547843933,0
73,"Menunya cukup, nggak bikin kecewa tapi nggak wow",NETRAL,POSITIF,0.9951560497283936,0
74,"Hari ini agak beda dari biasa tapi tetap standar rasanya",NETRAL,POSITIF,0.7159704566001892,0
75,"Oke lah, masih wajar buat makan siang gratis",NETRAL,POSITIF,0.6907742619514465,0
